id;fecha;status;precio_total;metodo_de_pago;referencia;restaurante_id;usuario_id
1;2021-09-01T03:05:43;CANCELADO;82419;TARJETA;Comunicaciones Director Administrador;1;1
2;2021-09-01T05:05:26;RECHAZADO;44230;CUPON;THX Escalinata synthesize;2;2
3;2021-09-01T10:49:58;RECHAZADO;95691;CUPON;Rua bluetooth morph;3;3
4;2021-09-01T12:16:41;COMPLETO;57136;TARJETA;Salchichas;4;4
5;2021-08-31T18:02:51;CANCELADO;86744;EFECTIVO;Lari monitor Contabilidad;5;5
6;2021-08-31T17:30:31;CANCELADO;95100;TARJETA;Colegio;6;6
7;2021-09-01T02:58:53;RECHAZADO;60396;TARJETA;Cantabria Amarillo;7;7
8;2021-08-31T15:21:12;CANCELADO;44131;CUPON;óptima;8;8
9;2021-09-01T01:44:01;CANCELADO;16728;TARJETA;didactica primary;9;9
10;2021-08-31T23:43:24;PAGADO;64242;TARJETA;Kwacha Avanzado;10;10
