id;nombre;descripcion;activo;calificacion;latitud;longitud;categoria_id
1;Práctico copy Violeta;PNG;true;0;3;-133;1
2;Marfil a;Som Mesa Sorprendente;true;4;77;-102;2
3;e-tailers enhance Berkshire;transition del;true;1;64;128;3
4;deposit grow;haptic Re-contextualizado;true;5;7;-90;4
5;interface multimedia soluciones;supply-chains copying panel;false;1;90;61;5
6;Diseñador Mobilidad Cambridgeshire;Algodón Artesanal Bicicleta;true;4;35;164;6
7;Loan Pequeño input;Méjico fritas Sol;true;0;-63;44;7
8;transmitting Negro;Granito;true;5;-87;-62;8
9;vertical primary;bypassing;true;4;-67;-40;9
10;Regional Producto end-to-end;Tanzania Centrado;true;5;-50;-47;10
